Code,StationName,Staffed,StationType,Address1,Address2,City,State,Zip,Country,Division,TimeZone,Latitude/Longitude,Elevation,Population
CVI,"Corvallis, Oregon",N,Station Building (with waiting room),153 NW 4th Avenue,Greyhound Station,Corvallis,OR,97330,United States,Pacific Northwest,P,"44.565432,-123.261389",232,49807
CVJ,"Cave Junction, Oregon",N,Curbside Bus Stop only (no shelter),406 Redwood Coast Highway,Junction Inn,Cave Junction,OR,97523,United States,Pacific,P,"42.163002,-123.647000",1335,
CVL,"Colville, Washington",N,Curbside Bus Stop only (no shelter),956 South Main Street,Rural Resources Community Action,Colville,WA,99114,United States,Pacific Northwest,P,"48.535879,-117.908378",1569,
CVS,"Charlottesville, Virginia",Y,Station Building (with waiting room),810 West Main Street,,Charlottesville,VA,22903,United States,Mid-Atlantic,E,"38.031484,-78.491684",488,47049
CWH,"Cornwells Heights, Pennsylvania",N,Platform with Shelter,700 Station Avenue,Station Avenue and Railroad Avenue,Cornwells Heights,PA,19020,United States,Northeast,E,"40.071663,-74.952187",35,3406
CWL,"Chewelah, Washington",N,Curbside Bus Stop only (no shelter),214 East Main Avenue,Chamber of Commerce,Chewelah,WA,99109,United States,Pacific Northwest,P,"48.276184,-117.713875",1668,
CWT,"Chatsworth, California",N,Platform with Shelter,10040 Old Depot Plaza Road,,Chatsworth,CA,91311,United States,Southwest,P,"34.253205,-118.599417",968,37225
CYN,"Cary, North Carolina",Y,Station Building (with waiting room),211 North Academy Street,,Cary,NC,27513,United States,Southern,E,"35.788294,-78.782246",495,70000
DAL,"Dallas, Texas",Y,Station Building (with waiting room),400 South Houston Street,Union Station,Dallas,TX,75202-4840,United States,Southwest,C,"32.776094,-96.807235",425,2000000
DAM,"Damariscotta, Maine",N,Curbside Bus Stop only (no shelter),167 Main Street,Waltz Pharmacy,Damariscotta,ME,04543-4649,United States,Northeast,E,"44.032398,-69.531009",16,1972
DAN,"Danville, Virginia",N,Station Building (with waiting room),677 Craghead Street,,Danville,VA,24541-1503,United States,Southern,E,"36.584090,-79.383968",428,45586
DAV,"Davis, California",Y,Station Building (with waiting room),840 Second Street,Amtrak Passenger Station,Davis,CA,95616-4624,United States,Pacific,P,"38.543562,-121.737707",49,64401
DBP,"Dublin-Pleasanton, California",N,Station Building (with waiting room),5801 Owens Drive,"BART Station, North side, East curb near parking structure.",Pleasanton,CA,94588-3900,United States,Pacific,P,"37.702833,-121.897697",334,41840
DDE,"Dade City, Florida",N,Curbside Bus Stop only (no shelter),14218 US Highway 98,Highway 98/301 Truck Route,Dade City,FL,33525,United States,Southern,E,"28.364669,-82.184459",76,6987
DDG,"Dodge City, Kansas",N,Station Building (with waiting room),Central Avenue & Wyatt Earp Street,,Dodge City,KS,67801,United States,Southwest,C,"37.752306,-100.016961",2490,27340
DEB,"Denver (Bus Station), Colorado",N,Station Building (with waiting room),1055 19th Street,Greyhound Station,Denver,CO,80202,United States,Central,M,"39.750405,-104.991508",5219,2000000
DEM,"Deming, New Mexico",N,Platform only (no shelter),400 East Railroad Avenue,,Deming,NM,88030,United States,Southwest,M,"32.271770,-107.754346",4338,15296
DEN,"Denver, Colorado",Y,Station Building (with waiting room),1800 21st Street,Denver Temporary Station,Denver,CO,80202,United States,Central,M,"39.757120,-104.996859",5181,467610
DER,"Dearborn, Michigan",Y,Station Building (with waiting room),16121 Michigan Avenue,,Dearborn,MI,48126,United States,Central,E,"42.312406,-83.198735",595,92382
DET,"Detroit, Michigan",Y,Station Building (with waiting room),11 West Baltimore Avenue,,Detroit,MI,48202,United States,Central,E,"42.368097,-83.072397",632,871121
DFB,"Deerfield Beach, Florida",Y,Station Building (with waiting room),1300 West Hillsboro Boulevard,,Deerfield Beach,FL,33442,United States,Southern,E,"26.317069,-80.122147",8,64583
DHM,"Durham, New Hampshire",N,Station Building (with waiting room),3 Depot Road,University of New Hampshire campus,Durham,NH,03824-1909,United States,Northeast,E,"43.139328,-70.936013",79,9050
DIL,"Dillon, South Carolina",N,Station Building (with waiting room),100 North Railroad Avenue,,Dillon,SC,29536,United States,Southern,E,"34.417647,-79.372301",115,32300
DKS,"Dickerson, Maryland",,Pseudo Station,22211 Mt. Ephraim Road,MARC Station,Dickerson,MD,20842,United States,MARC,E,"null,null",,
DLB,"Delray Beach, Florida",N,Platform with Shelter,345 South Congress Avenue,,Delray Beach,FL,33444,United States,Southern,E,"26.454021,-80.091154",18,60200
DLD,"Deland, Florida",Y,Station Building (with waiting room),2491 Old New York Avenue,,Deland,FL,32720-2808,United States,Southern,E,"29.017849,-81.352477",26,31828
DLK,"Detroit Lakes, Minnesota",N,Station Building (with waiting room),116 Pioneer Street,,Detroit Lakes,MN,56501,United States,Central,C,"46.819692,-95.845998",1363,8141
DNC,"Durham, North Carolina",Y,Station Building (with waiting room),601 West Main Street,Suite 103,Durham,NC,27701-2887,United States,Southern,E,"35.997240,-78.907129",400,200000
DNK,"Denmark, South Carolina",N,Station Building (with waiting room),200 West Baruch Street,,Denmark,SC,29042,United States,Southern,E,"33.326184,-81.143635",248,7000
DOA,"Dowagiac, Michigan",N,Station Building (with waiting room),200 Depot Drive,,Dowagiac,MI,49047-1448,United States,Central,E,"41.980941,-86.109041",767,6589
DOV,"Dover, New Hampshire",N,Station Building (with waiting room),33 Chestnut Street,,Dover,NH,03820-3327,United States,Northeast,E,"43.197968,-70.878361",70,28422
DOW,"Downingtown, Pennsylvania",N,Platform with Shelter,West Lancaster Avenue and Stuart Avenue,,Downingtown,PA,19335,United States,Mid-Atlantic,E,"40.002193,-75.710775",260,7885
DPK,"Deer Park, Washington",N,Curbside Bus Stop only (no shelter),810 South Main Street,Yoke's Supermarket,Deer Park,WA,99006,United States,Pacific Northwest,P,"47.946460,-117.477161",2104,
DQN,"Du Quoin, Illinois",N,Station Building (with waiting room),20 North Chestnut Street,,Du Quoin,IL,62832-1602,United States,Central,C,"38.012328,-89.240254",464,6427
DRD,"Durand, Michigan",N,Station Building (with waiting room),200 South Railroad Street,,Durand,MI,48429-1713,United States,Central,E,"42.909495,-83.982320",795,3678
DRS,"Dorsey, Maryland",,Pseudo Station,7000 Route 100,MARC Station,Elkridge,MD,21075,United States,MARC,E,"null,null",,
DRT,"Del Rio, Texas",N,Station Building (with waiting room),100 North Main Street,,Del Rio,TX,78840,United States,Southwest,C,"29.362202,-100.902662",962,37500
DUF,"Duffields, West Virginia",,Pseudo Station,5057 Flowing Springs Road,MARC Station,Duffields,WV,25414,United States,MARC,E,"null,null",,
DUK,"Dunkirk, New York",N,Curbside Bus Stop only (no shelter),411 Central Avenue,P&G Foods,Dunkirk,NY,14048,United States,Northeast,E,"42.482505,-79.334392",600,12300
DUL,"Duluth (Greyhound Station), Minnesota",N,Station Building (with waiting room),4426 Grand Avenue,Greyhound Terminal,Duluth,MN,55806,United States,Central,C,"46.746990,-92.157508",634,85000
DUN,"Dunsmuir, California",N,Station Building (with waiting room),5750 Sacramento Avenue,Amtrak Passenger Station,Dunsmuir,CA,96025-2024,United States,Pacific,P,"41.211127,-122.270587",2307,1836
DUU,"Duluth (University of Minnesota), Minnesota",N,Curbside Bus Stop only (no shelter),175 Kirby Student Union,,Duluth,MN,55812,United States,Central,C,"46.817841,-92.086097",1108,85000
DVI,"Danville, Illinois",N,Curbside Bus Stop only (no shelter),379 Lynch Road,BP Amoco Station,Danville,IL,61834-9378,United States,Central,C,"40.122053,-87.540521",659,32760
DVL,"Devils Lake, North Dakota",N,Station Building (with waiting room),Railroad Avenue and Third Street,,Devils Lake,ND,58301,United States,Central,C,"48.110468,-98.861372",1467,6708
DVP,"Davenport, Iowa",N,Station Building (with waiting room),304 West River Drive,Ground Transportation Center,Davenport,IA,52801,United States,Central,C,"41.520750,-90.577911",565,99514
DVR,"Dover, Delaware",N,Station Building (with waiting room),716 South Governors Avenue,Greyhound Station,Dover,DE,19904-4106,United States,Mid-Atlantic,E,"39.149713,-75.525174",30,34735
DWT,"Dwight, Illinois",N,Station Building (with waiting room),119 West Main Street,,Dwight,IL,60420-1321,United States,Central,C,"41.092981,-88.427884",634,4500
DYA,"Daytona Beach, Florida",N,Curbside Bus Stop only (no shelter),100 North Atlantic Avenue,Hilton Daytona Beach Ocean Walk Village,Daytona Beach,FL,32118-4273,United States,Southern,E,"29.228923,-81.008922",18,64183
DYE,"Dyer, Indiana",N,Platform with Shelter,913 Sheffield Avenue,,Dyer,IN,46311,United States,Central,C,"41.515413,-87.518076",624,10923
EDG,"Edgewood, Maryland",,Pseudo Station,2127 Old Edgewood Road,MARC Station,Edgewood,MD,21040,United States,MARC,E,"null,null",,
EDM,"Edmonds, Washington",Y,Station Building (with waiting room),211 Railroad Avenue,,Edmonds,WA,98020-4132,United States,Pacific Northwest,P,"47.811081,-122.384141",9,32000
EFG,"Effingham, Illinois",N,Station Building (with waiting room),401 West National Avenue,,Effingham,IL,62401-3772,United States,Central,C,"39.117059,-88.547110",594,34000
EGH,"Egg Harbor City, New Jersey",N,Platform with Shelter,South Philadelphia Avenue & Atlantic Avenue,New Jersey Transit Station,Egg Harbor City,NJ,08215,United States,Northeast,E,"39.526494,-74.648020",59,4454
EKA,"Eureka, California",N,Curbside Bus Stop only (no shelter),6th and C Streets,Bus stop behind Denny's,Eureka,CA,95501,United States,Pacific,P,"40.800739,-124.169330",20,25700
EKG,"Elk Grove, California",N,Curbside Bus Stop only (no shelter),9180 Harbour Point Drive,e-tran transit stop in front of Kelly's exp carwash,Elk Grove,CA,95758,United States,Pacific,P,"38.424746,-121.480807",17,59854
EKH,"Elkhart, Indiana",N,Station Building (with waiting room),131 Tyler Avenue,,Elkhart,IN,46515,United States,Central,E,"41.680748,-85.971848",752,43627
ELK,"Elko, Nevada",N,Platform with Shelter,1300 Water Street (Train 5),1301 Sharps Access Road (Train 6),Elko,NV,89801,United States,Pacific,P,"40.836483,-115.750530",5063,21500
ELP,"El Paso, Texas",Y,Station Building (with waiting room),700 West San Francisco Avenue,,El Paso,TX,79901,United States,Southwest,M,"31.757346,-106.495644",3724,609415
ELS,"Elsie, Oregon",N,Curbside Bus Stop only (no shelter),43128 US Highway 26,Oney's Roadhouse,Elsie,OR,97138-6162,United States,Pacific Northwest,P,"45.867040,-123.596050",450,1200
ELT,"Elizabethtown, Pennsylvania",N,Station Building (with waiting room),50 South Wilson Avenue ,,Elizabethtown,PA,17022,United States,Mid-Atlantic,E,"40.147028,-76.612234",481,11897
ELY,"Elyria, Ohio",N,Station Building (with waiting room),410 East River Road,,Elyria,OH,44035,United States,Central,E,"41.370033,-82.096685",728,56746
EMI,"Escanaba, Michigan",N,Curbside Bus Stop only (no shelter),2901 27th Avenue North,Delta Area Transit Authority bus stop,Escanaba,MI,49829,United States,Central,E,"45.779858,-87.089868",630,12575
EMY,"Emeryville, California",Y,Station Building (with waiting room),5885 Horton Street,,Emeryville,CA,94608-2037,United States,Pacific,P,"37.840474,-122.291615",14,8751
EPH,"Ephrata (Train), Washington",N,Platform with Shelter,90 Alder Street NW,Transportation Center,Ephrata,WA,98823-2421,United States,Pacific Northwest,P,"47.320948,-119.549267",1275,5359
EPL,"El Portal, California",N,Curbside Bus Stop only (no shelter),11136 Highway 140,Yosemite View Lodge,El Portal,CA,95318-0169,United States,Pacific,P,"37.678454,-119.765742",2096,635
EPR,"Ephrata (Bus), Washington",N,Curbside Bus Stop only (no shelter),1352 Basin Street SW,Shell Gas Station,Ephrata,WA,98823-2151,United States,Pacific Northwest,P,"47.306774,-119.561202",1250,
ERI,"Erie, Pennsylvania",N,Station Building (with waiting room),125 West 14th Street,,Erie,PA,16501,United States,Northeast,E,"42.120847,-80.082444",688,110000
ESG,"El Segundo, California",N,Curbside Bus Stop only (no shelter),700 South Douglas Street,Douglas Green Line Station,El Segundo,CA,90245,United States,Southwest,P,"33.906609,-118.383533",90,
ESM,"Essex, Montana",N,Platform only (no shelter),290 Izaak Walton Inn Road,Izaak Walton Inn,Essex,MT,59916-9710,United States,Pacific Northwest,M,"48.275543,-113.610942",3908,10
ESN,"Easton, Maryland",N,Curbside Bus Stop only (no shelter),29137 Newman Road,Easton Airport - Main Terminal,Easton,MD,21601,United States,Mid-Atlantic,E,"38.811393,-76.064904",70,
ESX,"Essex Junction, Vermont",N,Station Building (with waiting room),29 Railroad Avenue,,Essex Junction,VT,05452,United States,Northeast,E,"44.492466,-73.110277",355,19264
EUC,"Eau Claire, Wisconsin",N,Curbside Bus Stop only (no shelter),South Farwell St. and Main St.,Eau Claire Transit Center,Eau Claire,WI,54701,United States,Central,C,"44.810351,-91.498003",786,56161
EUG,"Eugene, Oregon",Y,Station Building (with waiting room),433 Willamette Street,,Eugene,OR,97401-2613,United States,Pacific Northwest,P,"44.055043,-123.092361",429,146356
EUO,"Eugene (University of Oregon), Oregon",N,Curbside Bus Stop only (no shelter),1320 East 15th Avenue,Across from Student Recreation Center,Eugene,OR,97402,United States,Pacific Northwest,P,"44.043375,-123.074349",464,146356
EVR,"Everett, Washington",Y,Station Building (with waiting room),3201 Smith Avenue,,Everett,WA,98201,United States,Pacific Northwest,P,"47.975401,-122.197858",60,82500
EWR,"Newark Liberty International Airport, New Jersey",Y,Station Building (with waiting room),Newark Liberty International Airport,AirTrain from main airport terminal,Newark,NJ,07114-3401,United States,Northeast,E,"40.696618,-74.182290",9,281402
EXC,Exchange,,Pseudo Station,,,,,,,,,"null,null",,
EXP,Express,,Pseudo Station,,,,,,,,,"null,null",,
EXR,"Exeter, New Hampshire",N,Platform with Shelter,60 Lincoln Street,Lincoln Street at Railroad Avenue,Exeter,NH,03833,United States,Northeast,E,"42.981020,-70.958700",52,10500
EXT,"Exton, Pennsylvania",N,Platform with Shelter,425 Walkertown Road,US 30/Route 100 (Pottstown Pike) interchange,Exton,PA,19341,United States,Mid-Atlantic,E,"40.019291,-75.621713",385,4267
FAR,"Fargo, North Dakota",Y,Station Building (with waiting room),420 4th Street North,,Fargo,ND,58102,United States,Central,C,"46.880982,-96.785372",902,93531
FAY,"Fayetteville, North Carolina",Y,Station Building (with waiting room),472 Hay Street,,Fayetteville,NC,28301-5563,United States,Southern,E,"35.054993,-78.884788",102,77800
FBG,"Fredericksburg, Virginia",N,Platform with Shelter,200 Lafayette Boulevard,,Fredericksburg,VA,22401-6067,United States,Mid-Atlantic,E,"38.298413,-77.457203",47,190000
FDL,"Fond du Lac, Wisconsin",N,Curbside Bus Stop only (no shelter),976 South Main Street,Mobil Station,Fond du Lac,WI,54935-4705,United States,Central,C,"43.752309,-88.450764",791,42341
FDN,"Fredonia, New York",N,Curbside Bus Stop only (no shelter),1 State University of New York,William Center Student Union,Fredonia,NY,14063,United States,Northeast,E,"42.450680,-79.339726",681,11127
FED,"Fort Edward-Glens Falls, New York",N,Platform only (no shelter),70 East Street,East and Rogers Streets,Fort Edward,NY,12828,United States,Northeast,E,"43.269603,-73.580550",142,3700
FGG,"Flagstaff (Greyhound), Arizona",N,Station Building (with waiting room),880 East Butler Ave.,,Flagstaff,AZ,86001-5843,United States,Southwest,M,"35.192292,-111.638801",6895,58213
FHD,"Fort Hood, Texas",N,Curbside Bus Stop only (no shelter),"Building 18010, 48th Street",Copeland Soldier's Service Center,Fort Hood,TX,76544,United States,Southwest,C,"31.141597,-97.766812",949,33700
FIL,"Fillmore, California",N,Curbside Bus Stop only (no shelter),718 West Ventura Street,International House of Pancakes,Fillmore,CA,93015-1835,United States,Southwest,P,"34.396009,-118.918319",437,9602
FIN,Group Final,,Pseudo Station,,,,,,,,,"null,null",,
FLG,"Flagstaff, Arizona",Y,Station Building (with waiting room),1 East Route 66,,Flagstaff,AZ,86001-5530,United States,Southwest,M,"35.197374,-111.648871",6904,50700
FLN,"Flint, Michigan",Y,Station Building (with waiting room),1407 South Dort Highway,,Flint,MI,48503-2878,United States,Central,E,"43.015425,-83.651728",759,430700
FLO,"Florence, South Carolina",Y,Station Building (with waiting room),805 East Day Street,,Florence,SC,29506,United States,Southern,E,"34.199157,-79.757056",142,65000
FMD,"Fort Madison, Iowa",Y,Station Building (with waiting room),1601 20th Street,,Fort Madison,IA,52627,United States,Central,C,"40.622591,-91.336983",523,10916
FMG,"Fort Morgan, Colorado",N,Station Building (with waiting room),South Ensign Street and Main Street,,Fort Morgan,CO,80701,United States,Central,M,"40.247169,-103.802818",4331,11000
FMT,"Fremont (Capitol Trains), California",N,Station Building (with waiting room),37260 Fremont Boulevard,,Fremont,CA,94536,United States,Pacific,P,"37.559093,-122.007496",58,201961
FNO,"Fresno, California",Y,Station Building (with waiting room),2650 Tulare Street,Santa Fe Station,Fresno,CA,93721-1325,United States,Pacific,P,"36.738457,-119.782926",295,466714
FOX,"Foxwoods Casino, Connecticut",N,Curbside Bus Stop only (no shelter),39 Norwich Westerley Road,Foxwoods Resort Casino,Ledyard,CT,06339-1128,United States,Northeast,E,"41.472320,-71.959227",190,
FRA,"Framingham, Massachusetts",N,Platform with Shelter,417 Waverly Street,Intersection Route 126 at Route 135,Framingham,MA,01702-6948,United States,Northeast,E,"42.276688,-71.417465",165,35000
FRC,"Frederick (Transit Center), Maryland",N,Station Building (with waiting room),100 South East Street,Frederick Transit Center/MARC Station,Frederick,MD,21704,United States,Mid-Atlantic,E,"39.411855,-77.405580",279,60000
FRO,"Florence, Oregon",N,Curbside Bus Stop only (no shelter),290 US Highway 101,"US 101 and 2nd Street, east side",Florence,OR,97439,United States,Pacific Northwest,P,"43.968173,-124.107588",16,8122
FRR,"Frederick (Airport), Maryland",N,Curbside Bus Stop only (no shelter),1341 Hughes Ford Road,BayRunner Shuttle Office,Frederick,MD,21705,United States,Mid-Atlantic,E,"39.416261,-77.382299",299,60000
FRT,"Fremont (San Joaquin Buses), California",N,Curbside Bus Stop only (no shelter),42745 Mission Blvd,off I-680,Fremont,CA,94538,United States,Pacific,P,"37.539150,-121.923640",264,162800
FSB,"Frostburg, Maryland",N,Curbside Bus Stop only (no shelter),101 Braddock Road,"Frostburg State Univ, Harold J Cordts PE Ctr",Frostburg,MD,21532,United States,Mid-Atlantic,E,"39.648900,-78.933168",1939,
FSC,"Frisco, Colorado",N,Curbside Bus Stop only (no shelter),1010 Meadow Drive,Frisco Transfer Center,Frisco,CO,80443,United States,Central,M,"39.588416,-106.098178",9070,2500
FTA,"Fortuna, California",N,Curbside Bus Stop only (no shelter),719 South Fortuna Blvd,Pepper's Restaurant,Fortuna,CA,95540,United States,Pacific,P,"40.583672,-124.146188",71,63300
FTC,"Ticonderoga, New York",N,Platform with Shelter,NYS Hwy 74 and Sandy Redoubt,near Lake Champlain Ferry,Ticonderoga,NY,12883,United States,Northeast,E,"43.853788,-73.389681",117,2100
FTL,"Fort Lauderdale, Florida",Y,Station Building (with waiting room),200 Southwest  21 Terrace,,Fort Lauderdale,FL,33312,United States,Southern,E,"26.119256,-80.170000",4,152397
FTM,"Fort Myers, Florida",N,Curbside Bus Stop only (no shelter),6050 Plaza Drive,"Fort Myers Travel Plaza, I-75 exit 139",Fort Myers,FL,33906-4419,United States,Southern,E,"26.655312,-81.801382",18,60531
FTN,"Fulton, Kentucky",N,Station Building (with waiting room),21 Newton Road,,Fulton,KY,42041,United States,Central,C,"36.525704,-88.888772",420,2775
FTW,"Fort Worth, Texas",Y,Station Building (with waiting room),1001 Jones Street,,Fort Worth,TX,76102,United States,Southwest,C,"32.752563,-97.326673",601,703073
FUL,"Fullerton, California",Y,Station Building (with waiting room),120 East Santa Fe Avenue,Fullerton Transportation Center,Fullerton,CA,92832,United States,Southwest,P,"33.868969,-117.922849",162,114000
GAC,"Santa Clara (Great America), California",N,Platform only (no shelter),5099 Stars & Stripes Drive,Under Tasman Drive Overpass,Santa Clara,CA,95054,United States,Pacific,P,"37.406778,-121.967003",13,108518
GAI,"Gaithersburg, Maryland",,Pseudo Station,5 South Summit Avenue,MARC Station,Gaithersburg,MD,20877,United States,MARC,E,"null,null",,
GAS,"Gastonia, North Carolina",N,Station Building (with waiting room),350 Hancock Street,,Gastonia,NC,28054,United States,Southern,E,"35.269186,-81.162366",819,69904
GBB,"Galesburg, Illinois",Y,Station Building (with waiting room),225 South Seminary Street,,Galesburg,IL,61401,United States,Central,C,"40.944678,-90.364106",780,31738
GBC,"Garibaldi Highlands, British Columbia",N,Curbside Bus Stop only (no shelter),40446 Government Road,Greyhound Canada Bus Stop,Garibaldi Highlands,BC,V0N 1T0,Canada,Pacific,P,"49.741591,-123.136652",49,5966
GBT,"Greenbelt, Maryland",,Pseudo Station,5600 Greenbelt Metro Drive,MARC/Metro Station,Greenbelt,MD,20770,,MARC,E,"null,null",,
GBV,"Garberville, California",N,Curbside Bus Stop only (no shelter),924 Redwood Drive,Waterwheel Restaurant,Garberville,CA,95542,United States,Pacific,P,"40.097700,-123.795143",556,1200
GBY,"Green Bay, Wisconsin",N,Station Building (with waiting room),800 Cedar Street,Greyhound Station,Green Bay,WI,54301,United States,Central,C,"44.514294,-88.004702",590,100353
GCA,Group Car Attendant,,Pseudo Station,,,,,,,,,"null,null",,
GCB,"Grand Canyon National Park (Buses), Arizona",N,Curbside Bus Stop only (no shelter),Maswik Lodge,,Grand Canyon National Park,AZ,86023,United States,Southwest,M,"36.053640,-112.144648",6848,1460
GCK,"Garden City, Kansas",Y,Station Building (with waiting room),100 North 7th Street,One block south of 7th/Fulton (Bus. Hwy. 50),Garden City,KS,67846,United States,Southwest,C,"37.964365,-100.873256",2835,26665
GCN,"Grand Canyon National Park (Railway), Arizona",N,Station Building (with waiting room),Grand Canyon Railway Station,downhill from Bright Angel Lodge,Grand Canyon National Park,AZ,86023,United States,Southwest,M,"36.056867,-112.136845",6882,1460
GDL,"Glendale, California",N,Platform with Shelter,400 West Cerritos Avenue,Glendale Transportation Center,Glendale,CA,91204,United States,Southwest,P,"34.123706,-118.258868",434,155000
GEM,"Germantown, Maryland",,Pseudo Station,19311 Mateny Hill Road,MARC Station,Germantown,MD,20875,United States,MARC,E,"null,null",,
GFK,"Grand Forks, North Dakota",Y,Station Building (with waiting room),5555 DeMers Avenue,,Grand Forks,ND,58201,United States,Central,C,"47.917522,-97.110835",836,51313
GFV,"Greenfield Village, Michigan",N,Platform with Shelter,20900 Oakwood Boulevard,Stop for prearranged groups only,Dearborn,MI,48216,United States,Central,E,"42.307458,-83.228538",598,
GGW,"Glasgow, Montana",N,Station Building (with waiting room),424 1st  Avenue South,,Glasgow,MT,59230-2396,United States,Pacific Northwest,M,"48.194854,-106.636188",2092,3523
GHL,"Gold Hill, Oregon",N,Curbside Bus Stop only (no shelter),868 2nd Avenue,Ray's Market,Gold Hill,OR,97525,United States,Pacific,P,"42.431980,-123.054646",1087,
GHT,"Gearhart, Oregon",N,Curbside Bus Stop only (no shelter),"4320 Highway 101, North",Gearhart Builders Supply Store,Gearhart,OR,97301,United States,Pacific Northwest,P,"46.036616,-123.913350",42,995
GIF,Gift Certificate,,Pseudo Station,,,,,,,,,"null,null",,
GJT,"Grand Junction, Colorado",Y,Station Building (with waiting room),339 South 1st Street,,Grand Junction,CO,81501-2207,United States,Pacific,M,"39.064375,-108.569929",4578,45000
GLE,"Gainesville, Texas",N,Station Building (with waiting room),605 East California Street,,Gainesville,TX,76240,United States,Southwest,C,"33.625159,-97.140896",735,16452
GLF,Golf Bag,,Pseudo Station,,,,,,,,,"null,null",,
GLM,"Gilman, Illinois",N,Platform with Shelter,US Highway 24 & West Wenona Street,,Gilman,IL,60983,United States,Central,C,"40.752547,-87.998055",654,1913
GLN,"Glenview, Illinois",Y,Station Building (with waiting room),1116 Depot Street,,Glenview,IL,60025,United States,Central,C,"42.075038,-87.805562",631,46321
GLP,"Gallup, New Mexico",N,Station Building (with waiting room),201 East Highway 66,(Amtrak shares space with Gallup Cultural Center),Gallup,NM,87301,United States,Southwest,M,"35.529176,-108.740548",6509,19000
GLS,"Galveston (Texas Eagle Bus), Texas",N,Curbside Bus Stop only (no shelter),123 Rosenberg Street,Galveston Railroad Museum,Galveston,TX,77550,United States,Southwest,C,"29.306615,-94.796849",6,64519
GLV,"Galveston (Sunset Limited Bus), Texas",N,Station Building (with waiting room),"3825 Broadway, Suite B",A-Z Cellular Phone/Valero Station,Galveston,TX,77550-3819,United States,Southwest,C,"29.295208,-94.809920",8,
GLY,"Gilroy, California",N,Curbside Bus Stop only (no shelter),7250 Monterey Street,Caltrain Station,Gilroy,CA,95020,United States,Pacific,P,"37.003961,-121.566798",198,21641
GMS,"Grimsby, Ontario",N,Platform with Shelter,Ontario Street and Drake Avenue,,Grimsby,ON,L3M 3H6,Canada,VIA Rail Canada Inc.,E,"43.195910,-79.558007",282,157983
GNB,"Greensburg, Pennsylvania",N,Platform with Shelter,Harrison Avenue and Seton Hill Drive,,Greensburg,PA,15601,United States,Mid-Atlantic,E,"40.304986,-79.546893",1097,15870
GNF,"Gainesville, Florida",N,Curbside Bus Stop only (no shelter),201 East University Avenue,,Gainesville,FL,32601,United States,Southern,E,"29.651852,-82.323536",175,95447
GNS,"Gainesville, Georgia",N,Station Building (with waiting room),116 Industrial Boulevard,,Gainesville,GA,30501,United States,Southern,E,"34.288897,-83.819694",1206,33340
GPB,Group Breakfast,,Pseudo Station,,,,,,,,,"null,null",,
GPD,Group Dinner,,Pseudo Station,,,,,,,,,"null,null",,
GPF,Group FedEx TBM,,Pseudo Station,,,,,,,,,"null,null",,
GPI,Kids Trains and Meal,,Pseudo Station,,,,,,,,,"null,null",,
GPK,"East Glacier Park, Montana",Y,Station Building (with waiting room),400 Highway 49 North,,East Glacier Park,MT,59434,United States,Pacific Northwest,M,"48.442333,-113.219523",4806,396
GPL,Group Lunch,,Pseudo Station,,,,,,,,,"null,null",,
GPM,"Garrett Park, Maryland",,Pseudo Station,11015 Rokeby Avenue,MARC Station,Garrett Park,MD,20852,United States,MARC,E,"null,null",,
GPS,Group Special Meal,,Pseudo Station,,,,,,,,,"null,null",,
GRA,"Granby, Colorado",N,Platform only (no shelter),438 Railroad Avenue,,Granby,CO,80446,United States,Central,M,"40.084188,-105.935503",7963,963
GRI,"Green River, Utah",N,Platform only (no shelter),250 South Broadway,@ RR Tracks and Green River Avenue,Green River,UT,84525,United States,Pacific,M,"38.992039,-110.165228",4089,1500
GRO,"Greensboro, North Carolina",Y,Station Building (with waiting room),236 East Washington Street,Galyon Transportation Center,Greensboro,NC,27401-2704,United States,Southern,E,"36.069797,-79.787080",317,236865
GRR,"Grand Rapids, Michigan",N,Station Building (with waiting room),431 Wealthy Street SW,near Market and Wealthy Streets SW,Grand Rapids,MI,49503-4061,United States,Central,E,"42.956349,-85.678868",611,193083
GRU,Group,,Pseudo Station,,,,,,,,,"null,null",,
GRV,"Greenville, South Carolina",Y,Station Building (with waiting room),1120 West Washington Street,,Greenville,SC,29601,United States,Southern,E,"34.858256,-82.413486",962,57428
GSC,"Glenwood Springs, Colorado",Y,Station Building (with waiting room),413 7th Street,,Glenwood Springs,CO,81601,United States,Central,M,"39.547903,-107.323218",5755,7700
GSN,"Goshen Junction, California",N,Curbside Bus Stop only (no shelter),30821 Highway 99,Arco Travel Plaza,Goshen,CA,93227,United States,Pacific,P,"36.349627,-119.427663",284,24400
GTA,"Goleta, California",N,Platform with Shelter,25 South La Patera Lane,,Goleta,CA,93117,United States,Southwest,P,"34.437729,-119.843092",42,66000
GTP,"Grants Pass, Oregon",N,Station Building (with waiting room),460 NE Agness Avenue,Grants Pass Transportation Ctr/Greyhound Station,Grants Pass,OR,97526,United States,Pacific,P,"42.433474,-123.298315",975,20000
GTV,"Grantsville, Maryland",N,Curbside Bus Stop only (no shelter),3000 Chestnut Ridge Road,Pilot Travel Center,Grantsville,MD,21536,United States,Mid-Atlantic,E,"39.692354,-79.100326",2693,
